Stock,Epic,Qty,Price,Target,Stop,Date,Sell,Sell Date,P/L
Bytes Tech,BYIT,1000,449.8,580,410,2023-05-23,,,
AB Dynamics,ABDP,150,1894.9,2200,1750,2023-05-19,1920.0,2023-06-27,38.0
Braemar,BMS,1000,292.0,320,225,2023-05-15,246.2,2023-06-26,-458.0
Pearson,PSON,500,781.1,850,735,2023-05-03,828.0,2023-06-29,235.0
Spectris,SXS,100,3722.8,3850,3610,2023-04-28,3640.0,2023-06-12,-82.0
Money Supermarket,MONY,1500,256.2,285,232,2023-04-26,,,
Zotefoams,ZTF,1000,371.0,410,340,2023-04-26,387.0,2023-05-24,160.0
TT Electronics,TTG,1500,171.0,195,140,2023-04-26,162.0,2023-10-31,-135.0
Begbies Traynor,BEG,3500,125.9,142,113,2023-04-24,123.85,2023-09-04,-72.0
Rank,RNK,5000,77.4,95,70,2023-04-24,100.3,2023-05-24,1145.0
Mears,MER,1500,209.13,230,195,2023-04-24,241.43,2023-05-18,323.0
Watches of Switzerland,WOSG,500,736.2,950,630,2023-04-18,670.9,2023-05-17,-323.0
GB Group,GBG,1000,294.1,380,240,2023-04-14,279.2,2023-06-09,-149.0
Iomart,IOM,1458,124.0,160,115,2023-04-14,155.0,2023-10-17,452.0
Easyjet,EZJ,750,489.5,620,420,2023-04-12,483.2,2023-07-21,-47.0
Spire Healthcare,SPI,2000,211.9,235,195,2023-04-06,238.6,2023-05-17,534.0
Qinetiq,QQ,1500,334.7,420,310,2023-04-05,,,
Portmeirion,PMP,1000,376.4,500,320,2023-03-31,463.0,2023-05-24,866.0
LBG Media,LBG,5000,77.0,110,65,2023-03-30,99.2,2023-05-24,1110.0
Tinybuild,TBLD,10000,48.5,58,35,2023-03-29,46.1,2023-05-31,-240.0
Iqgeo,IQG,3000,198.0,270,165,2023-03-27,,,
Big Technologies,BIG,1000,240.0,290,210,2023-03-24,224.96,2023-09-20,-151.0
Equals,EQLS,5000,80.8,105,71,2023-03-23,,,
Argentex,AGFX,5000,113.0,128,100,2023-03-20,120.45,2023-07-10,382.0
BAE Systems,BA,750,905.0,1020,850,2023-03-17,,,
Oxford Metrics,OMG,2500,101.0,120,90,2023-03-16,96.37,2023-04-27,-116.0
Spire Healthcare,SPI,1000,209.7,228,195,2023-03-16,229.0,2023-06-08,193.0
Kitwave,KITW,1000,278.2,310,245,2023-03-16,298.5,2023-05-18,203.0
Yu Group,YU,500,518.0,850,410,2023-03-15,,,
NWF,NWF,1000,256.0,290,230,2023-03-02,262.6,2023-07-26,66.0
PZ Cussons,PZC,2000,183.1,205,172,2023-03-01,204.0,2023-05-02,418.0
Me Group,MEGP,2500,125.6,145,115,2023-02-28,131.0,2023-11-30,135.0
Begbies Traynor,BEG,3500,128.2,142,123,2023-02-17,123.0,2023-04-04,-182.0
Oxford Instruments,OXIG,250,2385.0,2625,2210,2023-02-09,2210.0,2023-09-04,-437.0
Airtel Africa,AAF,3000,112.2,125,102,2023-02-03,121.1,2023-03-03,297.0
Ramsdens,RFX,3000,230.0,280,205,2023-01-30,208.0,2023-03-08,-660.0
